factura,cliente,direccion
F-001,Ferretería López,"Av. Insurgentes Sur 1234 Del Valle Benito Juárez CDMX"
F-002,Materiales Norte,"Paseo de la Reforma 222 Cuauhtémoc CDMX"
F-003,Construcciones Pérez,"Av. Revolución 500 San Ángel Álvaro Obregón CDMX"
F-004,Ferrecentro SA,"Calzada de Tlalpan 1000 Santa Cruz Atoyac Benito Juárez CDMX"
F-005,Distribuidora Oriente,"Av. Universidad 300 Copilco Coyoacán CDMX"
F-006,Herrería Martínez,"Av. Tláhuac 2500 Iztapalapa CDMX"
F-007,Materiales del Valle,"Calle Puebla 354 Roma Norte Cuauhtémoc CDMX"
F-008,Ferremax SA,"Av. Politécnico Nacional 2000 Gustavo A Madero CDMX"
F-009,Construcciones Neza,"Av. Chimalhuacán 500 Nezahualcóyotl Estado de Mexico"
F-010,Herrajes del Norte,"Blvd. Manuel Ávila Camacho 500 Naucalpan Estado de Mexico"
F-011,Materiales Poniente,"Av. Constituyentes 800 Miguel Hidalgo CDMX"
F-012,Ferretería del Sur,"Calzada de la Viga 1200 Iztacalco CDMX"
F-013,Distribuidora Central,"Eje Central Lázaro Cárdenas 800 Cuauhtémoc CDMX"
