nombre,direccion,factura,valor
Ferretería Roma Norte,Av. Álvaro Obregón 185 Roma Norte CDMX,FAC-101,4500
Materiales Condesa,Av. Michoacán 88 Condesa CDMX,FAC-102,7200
Herrería Mixcoac,Av. Patriotismo 550 Mixcoac CDMX,FAC-103,3100
Constructora Nápoles,Av. Insurgentes Sur 663 Nápoles CDMX,FAC-104,9800
Distribuidora Del Valle,Av. Coyoacán 1540 Del Valle CDMX,FAC-105,5600
Acabados Doctores,Dr. Río de la Loza 240 Doctores CDMX,FAC-106,2400
Materiales Centro Histórico,Calle República de Uruguay 55 Centro CDMX,FAC-107,8300
Ferretería Álvaro Obregón,Av. Revolución 1500 Álvaro Obregón CDMX,FAC-108,6100
Herrería Narvarte,Eje 4 Sur Xola 850 Narvarte CDMX,FAC-109,3900
Distribuidora Portales,Calz. de Tlalpan 2050 Portales CDMX,FAC-110,7400
